snapshot,season,week,team,name,pos,status,practice,source
2026-09-02,2026,,TB,Dennis Houston,WR,Questionable,,sleeper
2026-09-02,2026,,JAX,Jared Bartlett,LB,IR,,sleeper
2026-09-02,2026,,JAX,Carter Bradley,QB,IR,,sleeper
2026-09-02,2026,,LV,Carter Runyon,TE,IR,,sleeper
2026-09-02,2026,,NYJ,Joseph Ossai,DE,Questionable,,sleeper
2026-09-02,2026,,SF,Kyle Juszczyk,FB,Questionable,,sleeper
2026-09-02,2026,,SF,Vederian Lowe,OT,Questionable,,sleeper
2026-09-02,2026,,NO,John Ridgeway,DL,Questionable,,sleeper
2026-09-02,2026,,CAR,Chuba Hubbard,RB,Questionable,,sleeper
2026-09-02,2026,,CLE,Kendrick Green,C,IR,,sleeper
2026-09-02,2026,,NO,Michael Heldman,DE,IR,,sleeper
2026-09-02,2026,,DAL,Princeton Fant,TE,IR,,sleeper
2026-09-02,2026,,CHI,Ray-Ray McCloud,WR,IR,,sleeper
2026-09-02,2026,,SF,Mikail Kamara,DE,IR,,sleeper
2026-09-02,2026,,PHI,Tucker Large,DB,PUP,,sleeper
2026-09-02,2026,,GB,Warren Brinson,DL,Questionable,,sleeper
2026-09-02,2026,,BUF,Phidarian Mathis,DL,Suspended,,sleeper
2026-09-02,2026,,SF,Nick Bosa,DE,Questionable,,sleeper
2026-09-02,2026,,MIA,Carter Warren,OL,IR,,sleeper
2026-09-02,2026,,NYJ,Dominic Richardson,RB,IR,,sleeper
2026-09-02,2026,,DEN,Michael Deiter,OL,IR,,sleeper
2026-09-02,2026,,CHI,Coby Bryant,DB,IR,,sleeper
2026-09-02,2026,,BUF,Jedrick Wills,OT,Questionable,,sleeper
2026-09-02,2026,,IND,Cam Taylor-Britt,DB,Suspended,,sleeper
2026-09-02,2026,,MIA,Will Kacmarek,TE,Questionable,,sleeper
2026-09-02,2026,,SEA,Mason Richman,OL,IR,,sleeper
2026-09-02,2026,,HOU,Sam Hagen,OL,IR,,sleeper
2026-09-02,2026,,CHI,Shemar Turner,DE,PUP,,sleeper
2026-09-02,2026,,NO,Alvin Kamara,RB,Questionable,,sleeper
2026-09-02,2026,,NO,Bryan Bresee,DT,IR,,sleeper
2026-09-02,2026,,ARI,Tip Reiman,TE,PUP,,sleeper
2026-09-02,2026,,NO,Oscar Delp,TE,Questionable,,sleeper
2026-09-02,2026,,NYJ,Qwan'tez Stiggers,CB,Questionable,,sleeper
2026-09-02,2026,,NO,Cameron Jordan,DE,Questionable,,sleeper
2026-09-02,2026,,HOU,Ja'Marcus Ingram,CB,IR,,sleeper
2026-09-02,2026,,JAX,Garrett DiGiorgio,G,IR,,sleeper
2026-09-02,2026,,SEA,Emanuel Wilson,RB,Questionable,,sleeper
2026-09-02,2026,,GB,Trey Dean,DB,IR,,sleeper
2026-09-02,2026,,NYJ,Da'Quan Felton,WR,Questionable,,sleeper
2026-09-02,2026,,HOU,Tank Dell,WR,IR,,sleeper
2026-09-02,2026,,CAR,Tyrek Funderburk,CB,IR,,sleeper
2026-09-02,2026,,LAR,Justin Dedich,OL,IR,,sleeper
2026-09-02,2026,,WAS,Marcus Mariota,QB,Questionable,,sleeper
2026-09-02,2026,,MIA,Cole Turner,TE,IR,,sleeper
2026-09-02,2026,,KC,EJ Smith,RB,IR,,sleeper
2026-09-02,2026,,LV,Chris Collier,RB,IR,,sleeper
2026-09-02,2026,,TEN,Nazeeh Johnson,DB,Questionable,,sleeper
2026-09-02,2026,,DET,D.J. Reed,CB,Questionable,,sleeper
2026-09-02,2026,,CHI,Nephi Sewell,LB,IR,,sleeper
2026-09-02,2026,,SF,Brett Toth,OL,IR,,sleeper
2026-09-02,2026,,MIN,Jeshaun Jones,WR,Suspended,,sleeper
2026-09-02,2026,,CLE,Joe Royer,TE,PUP,,sleeper
2026-09-02,2026,,CAR,Brady Christensen,T,IR,,sleeper
2026-09-02,2026,,PIT,Jack Driscoll,T,IR,,sleeper
2026-09-02,2026,,LAR,Keagen Trost,OL,IR,,sleeper
2026-09-02,2026,,LAC,Isaiah World,OT,PUP,,sleeper
2026-09-02,2026,,SEA,Zach Charbonnet,RB,PUP,,sleeper
2026-09-02,2026,,CHI,Ruben Hyppolite,LB,IR,,sleeper
2026-09-02,2026,,MIA,Storm Duck,CB,PUP,,sleeper
2026-09-02,2026,,BUF,Dorian Strong,CB,PUP,,sleeper
2026-09-02,2026,,BUF,Terrel Bernard,LB,Questionable,,sleeper
2026-09-02,2026,,CLE,Elijah Chatman,DT,IR,,sleeper
2026-09-02,2026,,PHI,Jonathan Jones,DB,Questionable,,sleeper
2026-09-02,2026,,LAR,Alex Johnson,CB,IR,,sleeper
2026-09-02,2026,,ATL,Storm Norton,T,PUP,,sleeper
2026-09-02,2026,,WAS,Trey Amos,DB,IR,,sleeper
2026-09-02,2026,,NO,Nick Saldiveri,OL,PUP,,sleeper
2026-09-02,2026,,HOU,K.C. Ossai,LB,IR,,sleeper
2026-09-02,2026,,LAR,Kobie Turner,DT,Questionable,,sleeper
2026-09-02,2026,,NE,Brenden Schooler,DB,PUP,,sleeper
2026-09-02,2026,,ATL,Beaux Collins,WR,IR,,sleeper
2026-09-02,2026,,LAC,Rashawn Slater,T,Questionable,,sleeper
2026-09-02,2026,,PIT,Michael Pittman,WR,Questionable,,sleeper
2026-09-02,2026,,GB,Johnathan Baldwin,DB,IR,,sleeper
2026-09-02,2026,,SF,Nick Zakelj,OL,IR,,sleeper
2026-09-02,2026,,DEN,Riley Moss,DB,Questionable,,sleeper
2026-09-02,2026,,PIT,DK Metcalf,WR,Questionable,,sleeper
2026-09-02,2026,,IND,AJ Haulcy,DB,Questionable,,sleeper
2026-09-02,2026,,NYJ,Breece Hall,RB,Questionable,,sleeper
2026-09-02,2026,,ARI,Jameson Geers,TE,IR,,sleeper
2026-09-02,2026,,WAS,John Bates,TE,Questionable,,sleeper
2026-09-02,2026,,SF,Dominick Puni,OL,Questionable,,sleeper
2026-09-02,2026,,CAR,Nic Scourton,DL,IR,,sleeper
2026-09-02,2026,,WAS,T.J. Maguranyanga,DE,IR,,sleeper
2026-09-02,2026,,TEN,Tanoh Kpassagnon,DE,IR,,sleeper
2026-09-02,2026,,BUF,Michael Hoecht,DT,Questionable,,sleeper
2026-09-02,2026,,IND,Cameron Mitchell,DB,IR,,sleeper
2026-09-02,2026,,MIA,Zach Sieler,DT,Questionable,,sleeper
2026-09-02,2026,,IND,Charvarius Ward,CB,Questionable,,sleeper
2026-09-02,2026,,TB,Josh Hayes,CB,IR,,sleeper
2026-09-02,2026,,DET,Kendrick Law,WR,IR,,sleeper
