snapshot,season,week,team,name,pos,status,practice,source
2026-09-02,2026,,PHI,Grant Calcaterra,TE,IR,,sleeper
2026-09-02,2026,,NYG,Calvin Austin,WR,IR,,sleeper
2026-09-02,2026,,TEN,Jaren Kanak,TE,IR,,sleeper
2026-09-02,2026,,DET,Giovanni Manu,OL,PUP,,sleeper
2026-09-02,2026,,DAL,Tyler Guyton,OL,Questionable,,sleeper
2026-09-02,2026,,CIN,Tee Higgins,WR,Questionable,,sleeper
2026-09-02,2026,,DET,Sam LaPorta,TE,Questionable,,sleeper
2026-09-02,2026,,GB,Dani Dennis-Sutton,DE,Questionable,,sleeper
2026-09-02,2026,,CLE,Jamari Thrash,WR,IR,,sleeper
2026-09-02,2026,,KC,C.J. Hanson,OG,IR,,sleeper
2026-09-02,2026,,ARI,Chase Bisontis,G,IR,,sleeper
2026-09-02,2026,,CHI,Tony Fields,LB,IR,,sleeper
2026-09-02,2026,,NYJ,Tyler Baron,DE,PUP,,sleeper
2026-09-02,2026,,CHI,Luther Burden,WR,Questionable,,sleeper
2026-09-02,2026,,PHI,Eli Stowers,TE,Questionable,,sleeper
2026-09-02,2026,,TB,Jalen McMillan,WR,Questionable,,sleeper
2026-09-02,2026,,GB,RJ Maryland,TE,Questionable,,sleeper
2026-09-02,2026,,WAS,Jeremy McNichols,RB,IR,,sleeper
2026-09-02,2026,,LAC,Dalevon Campbell,WR,IR,,sleeper
2026-09-02,2026,,MIN,Bryson Nesbit,TE,Questionable,,sleeper
2026-09-02,2026,,ARI,James Conner,RB,IR,,sleeper
2026-09-02,2026,,IND,Tyler Warren,TE,Questionable,,sleeper
2026-09-02,2026,,LAC,Kyle Kennard,DE,IR,,sleeper
2026-09-02,2026,,ARI,Zach Carter,DL,IR,,sleeper
2026-09-02,2026,,DEN,Nick Gargiulo,OL,PUP,,sleeper
2026-09-02,2026,,NYJ,Kenyon Sadiq,TE,Questionable,,sleeper
2026-09-02,2026,,MIN,Jermar Jefferson,RB,IR,,sleeper
2026-09-02,2026,,LAC,Tre' Harris,WR,Questionable,,sleeper
2026-09-02,2026,,JAX,Jakobi Meyers,WR,Questionable,,sleeper
2026-09-02,2026,,MIN,Dontae Fleming,WR,IR,,sleeper
2026-09-02,2026,,BUF,Demetrius Flannigan-Fowles,LB,IR,,sleeper
2026-09-02,2026,,SF,Isaac Guerendo,RB,PUP,,sleeper
2026-09-02,2026,,MIN,Dwight McGlothern,DB,Questionable,,sleeper
2026-09-02,2026,,NYG,John Michael Schmitz,OL,Questionable,,sleeper
2026-09-02,2026,,SF,Ricky Pearsall,WR,IR,,sleeper
2026-09-02,2026,,TB,Emeka Egbuka,WR,Questionable,,sleeper
2026-09-02,2026,,PHI,Jakorian Bennett,DB,IR,,sleeper
2026-09-02,2026,,LAR,Terrance Ferguson,TE,Questionable,,sleeper
2026-09-02,2026,,MIA,Trey Moore,LB,IR,,sleeper
2026-09-02,2026,,NO,Mason Tipton,WR,PUP,,sleeper
2026-09-02,2026,,ATL,Malik Verdon,DB,IR,,sleeper
